Country,Year,State / Uts,Crop Name,Season,Additional Info,"Yield (UOM:Kg/Ha(KilogramperHectare)), Scaling Factor:1"
India,"Agriculture Year (Jul - Jun), 2024",All India,Bajra,Total,3rd Advance Estimates,1388
India,"Agriculture Year (Jul - Jun), 2024",All India,Foodgrains,Kharif,3rd Advance Estimates,2298
India,"Agriculture Year (Jul - Jun), 2024",All India,Foodgrains,Rabi,3rd Advance Estimates,2935
India,"Agriculture Year (Jul - Jun), 2024",All India,Foodgrains,Total,3rd Advance Estimates,2578
India,"Agriculture Year (Jul - Jun), 2024",All India,Gram,Total,3rd Advance Estimates,1160
India,"Agriculture Year (Jul - Jun), 2024",All India,Groundnut,Kharif,3rd Advance Estimates,2076
India,"Agriculture Year (Jul - Jun), 2024",All India,Groundnut,Rabi,3rd Advance Estimates,2005
India,"Agriculture Year (Jul - Jun), 2024",All India,Groundnut,Summer,3rd Advance Estimates,2019
India,"Agriculture Year (Jul - Jun), 2024",All India,Groundnut,Total,3rd Advance Estimates,2067
India,"Agriculture Year (Jul - Jun), 2024",All India,Linseed,Total,3rd Advance Estimates,633
India,"Agriculture Year (Jul - Jun), 2024",All India,Maize,Kharif,3rd Advance Estimates,2947
India,"Agriculture Year (Jul - Jun), 2024",All India,Maize,Rabi,3rd Advance Estimates,4999
India,"Agriculture Year (Jul - Jun), 2024",All India,Maize,Summer,3rd Advance Estimates,4425
India,"Agriculture Year (Jul - Jun), 2024",All India,Maize,Total,3rd Advance Estimates,3518
India,"Agriculture Year (Jul - Jun), 2024",All India,Oilseeds,Kharif,3rd Advance Estimates,1386
India,"Agriculture Year (Jul - Jun), 2024",All India,Oilseeds,Rabi,3rd Advance Estimates,1456
India,"Agriculture Year (Jul - Jun), 2024",All India,Oilseeds,Total,3rd Advance Estimates,1408
India,"Agriculture Year (Jul - Jun), 2024",All India,Pulses,Total,3rd Advance Estimates,914
India,"Agriculture Year (Jul - Jun), 2024",All India,Rapeseed & Mustard,Total,3rd Advance Estimates,1461
India,"Agriculture Year (Jul - Jun), 2024",All India,Rice,Kharif,3rd Advance Estimates,2807
India,"Agriculture Year (Jul - Jun), 2024",All India,Rice,Rabi,3rd Advance Estimates,3503
India,"Agriculture Year (Jul - Jun), 2024",All India,Rice,Summer,3rd Advance Estimates,3265
India,"Agriculture Year (Jul - Jun), 2024",All India,Rice,Total,3rd Advance Estimates,2899
India,"Agriculture Year (Jul - Jun), 2024",All India,Safflower,Total,3rd Advance Estimates,756
India,"Agriculture Year (Jul - Jun), 2024",All India,Soybean,Total,3rd Advance Estimates,1172
India,"Agriculture Year (Jul - Jun), 2024",All India,Sunflower,Kharif,3rd Advance Estimates,906
India,"Agriculture Year (Jul - Jun), 2024",All India,Sunflower,Rabi,3rd Advance Estimates,1359
India,"Agriculture Year (Jul - Jun), 2024",All India,Sunflower,Summer,3rd Advance Estimates,1171
India,"Agriculture Year (Jul - Jun), 2024",All India,Sunflower,Total,3rd Advance Estimates,1129
India,"Agriculture Year (Jul - Jun), 2024",All India,Tur,Total,3rd Advance Estimates,823
India,"Agriculture Year (Jul - Jun), 2024",All India,Wheat,Total,3rd Advance Estimates,3587
India,"Agriculture Year (Jul - Jun), 2024","Andaman and Nicobar
 Islands",Rapeseed & Mustard,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024","Andaman and Nicobar
Islands",Maize,Kharif,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024","Andaman and Nicobar
Islands",Maize,Rabi,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024","Andaman and Nicobar
Islands",Maize,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Foodgrains,Kharif,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Foodgrains,Rabi,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Foodgrains,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Groundnut,Kharif,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Oilseeds,Kharif,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Oilseeds,Rabi,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Oilseeds,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Pulses,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Rice,Kharif,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Rice,Rabi,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Rice,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andaman and Nicobar Islands,Tur,Total,3rd Advance Estimates,
India,"Agriculture Year (Jul - Jun), 2024",Andhra Pradesh,Bajra,Total,3rd Advance Estimates,2320
India,"Agriculture Year (Jul - Jun), 2024",Andhra Pradesh,Foodgrains,Kharif,3rd Advance Estimates,2907
