Crop Name,Season,Last_Available_Year,Last_Available_Yield (2025 Pred),Predicted_Yield_2026,Predicted_Yield_2027,Method,Test_MAE,Test_R2
Bajra,Total,2025,414.2,417.3,416.8,Random Forest (recursive forecast),16.9,0.408
Foodgrains,Kharif,2025,2762.8,2803.1,2803.7,Random Forest (recursive forecast),64.8,0.568
Foodgrains,Rabi,2025,3503.1,3466.6,3392.2,Random Forest (recursive forecast),115.8,-0.03
Foodgrains,Total,2025,3078.3,3086.7,3090.2,Random Forest (recursive forecast),60.9,0.678
Gram,Total,2025,1240.6,1241.5,1241.5,Random Forest (recursive forecast),60.3,0.132
Groundnut,Kharif,2025,1537.5,1537.5,1537.5,Random Forest (recursive forecast),41.7,0.122
Groundnut,Rabi,2025,1927.6,1980.0,2278.6,Random Forest (recursive forecast),165.2,0.585
Groundnut,Summer,2025,3280.0,3280.0,3280.0,Persistence Fallback,,
Groundnut,Total,2025,2888.1,2834.5,2844.3,Random Forest (recursive forecast),197.1,0.483
Linseed,Total,2025,469.9,468.0,469.6,Random Forest (recursive forecast),36.7,0.279
Maize,Kharif,2025,4233.3,4150.9,4151.7,Random Forest (recursive forecast),162.0,0.253
Maize,Rabi,2025,7099.0,7071.6,7037.1,Random Forest (recursive forecast),356.5,-0.039
Maize,Summer,2025,7270.0,7270.0,7270.0,Persistence Fallback,,
Maize,Total,2025,6750.8,6698.9,6689.5,Random Forest (recursive forecast),302.8,0.24
Oilseeds,Kharif,2025,1365.9,1365.7,1365.6,Random Forest (recursive forecast),31.9,0.852
Oilseeds,Rabi,2025,1263.4,1270.1,1275.6,Random Forest (recursive forecast),87.6,0.287
Oilseeds,Total,2025,1326.1,1301.6,1300.4,Random Forest (recursive forecast),87.4,0.169
Pulses,Total,2025,945.5,949.7,967.0,Random Forest (recursive forecast),60.6,0.529
Rapeseed & Mustard,Total,2025,1242.3,1242.2,1243.9,Random Forest (recursive forecast),88.8,-0.088
Rice,Kharif,2025,2783.9,2837.0,2826.8,Random Forest (recursive forecast),61.2,0.619
Rice,Rabi,2025,3518.1,3571.2,3565.1,Random Forest (recursive forecast),106.1,0.048
Rice,Summer,2025,3617.0,3617.0,3617.0,Persistence Fallback,,
Rice,Total,2025,2974.8,3012.3,3024.9,Random Forest (recursive forecast),64.0,0.724
Safflower,Total,2025,390.1,391.5,390.1,Random Forest (recursive forecast),129.4,0.42
Soybean,Total,2025,772.5,782.9,778.9,Random Forest (recursive forecast),161.8,-2.895
Sunflower,Kharif,2025,1667.0,1667.0,1667.0,Persistence Fallback,,
Sunflower,Rabi,2025,1277.1,1275.7,1275.3,Random Forest (recursive forecast),69.5,0.172
Sunflower,Summer,2025,1150.0,1150.0,1150.0,Persistence Fallback,,
Sunflower,Total,2025,1180.7,1218.8,1222.5,Random Forest (recursive forecast),98.2,0.097
Tur,Total,2025,1688.0,1651.4,1667.2,Random Forest (recursive forecast),265.7,0.153
Wheat,Total,2025,3108.1,3107.7,3108.1,Random Forest (recursive forecast),96.1,-0.161
